FY,Total_MWh_Dispatched,Total_Revenue,VWAP,State,Fuel_Type,% of total MWh dispatched in FY,% of total revenue in FY
2020,0.0,0.0,,NSW,Battery,0.0,0.0
2021,0.0,0.0,,NSW,Battery,0.0,0.0
2022,13780.540833333333,5091472.798675,369.4682857699888,NSW,Battery,0.007433112175232103,0.01976977381193243
2023,22553.7175,6361941.651825,282.07951313680326,NSW,Battery,0.012205079752383585,0.024231566546709136
2024,102064.6125,28423693.05505,278.4872480170343,NSW,Battery,0.05517135024777461,0.15921572782771728
2025,0.9425,62.365225,66.17,NSW,Battery,0.05007502398598076,0.02883668966351015
2020,53793194.69833333,4078936653.59075,75.82625788382722,NSW,Coal-Black,28.593697518830442,30.85570571038545
2021,51019642.32416666,3543295363.224692,69.4496315891718,NSW,Coal-Black,27.60048427249384,31.203987995297943
2022,47181011.575,6556802706.716184,138.97121930701596,NSW,Coal-Black,25.44905572425702,25.459530388727437
2023,45829840.85166667,7376732917.754833,160.95916504773479,NSW,Coal-Black,24.801093772396456,28.096735930075624
2024,45062056.123333335,5118279602.769083,113.58291305573194,NSW,Coal-Black,24.358437467886333,28.67011723643192
2025,621.695,41137.558150000004,66.17,NSW,Coal-Black,33.03065468112925,19.021353613109753
2020,0.0,0.0,,NSW,Diesel,0.0,0.0
2021,0.0,0.0,,NSW,Diesel,0.0,0.0
2022,980.625,517315.51725000003,527.5365376673041,NSW,Diesel,0.0005289411870690596,0.002008693981061207
2023,736.5333333333333,890489.2595833333,1209.027778217777,NSW,Diesel,0.0003985794392264716,0.0033917239317234845
2024,628.6083333333333,1128296.03,1794.9110283297762,NSW,Diesel,0.00033979622983434325,0.006320166534082984
2025,0.0,0.0,,NSW,Diesel,0.0,0.0
2020,2009134.2791666666,289084771.82303333,143.8852419276514,NSW,Gas,1.0679525203024431,2.1868235283509754
2021,939883.5766666667,153334243.21425,163.14174119102688,NSW,Gas,0.5084559729160607,1.350336168467518
2022,2293563.8266666667,550898379.8603083,240.19317598889418,NSW,Gas,1.2371297622391042,2.139093498846272
2023,1612766.9891666668,416147817.382275,258.0334420146477,NSW,Gas,0.8727585474452593,1.5850370974832293
2024,1264244.0333333334,380260175.9403833,300.7806767636316,NSW,Gas,0.6833911250257534,2.1300328764100303
2025,0.018333333333333333,1.2131166666666666,66.17,NSW,Gas,0.0009740499802754879,0.0005609258820488269
2020,2088744.8316666668,271218393.15115833,129.8475472155906,NSW,Hydro,1.110269398306391,2.0516707252486324
2021,2808119.6991666667,396644580.0318083,141.24917116229622,NSW,Hydro,1.5191298892234182,3.4930457229646663
2022,2946306.7275,687904996.9495167,233.48044198141505,NSW,Hydro,1.5892139991468772,2.671079023996591
2023,3432004.8925,760717323.3109584,221.65391575442177,NSW,Hydro,1.857250070793569,2.897444436284024
2024,2809130.1325,668557698.61745,237.99456311497525,NSW,Hydro,1.5184842095171327,3.7449356202250796
2025,0.0,0.0,,NSW,Hydro,0.0,0.0
2020,1875.2216666666666,1860523.3654916666,992.1618326855581,NSW,Liquid,0.0009967714581392028,0.014074197838392477
2021,-7.786666666666667,-355.20000000000005,45.61643835616439,NSW,Liquid,-4.2124123392116656e-06,-3.128064527435497e-06
2022,-6.599166666666667,-620.90655,94.08862987750979,NSW,Liquid,-3.5595370812830955e-06,-2.410929516316339e-06
2023,0.0,0.0,,NSW,Liquid,0.0,0.0
2024,0.0,0.0,,NSW,Liquid,0.0,0.0
2025,0.0,0.0,,NSW,Liquid,0.0,0.0
2020,1613196.89,115822418.81075834,71.79682748505569,NSW,Solar,0.8574925540238855,0.8761554230913873
2021,2696070.591666667,130036299.43490833,48.23178585784804,NSW,Solar,1.4585138306150294,1.1451631068167716
2022,4241293.919166666,387379393.544975,91.33519179002988,NSW,Solar,2.287719607712225,1.5041626053233024
2023,5302370.336666667,455167510.96404165,85.84227092108065,NSW,Solar,2.8694095700936963,1.7336565525811156
2024,6890404.855,375273556.2179,54.4632084928339,NSW,Solar,3.724630215043158,2.1021002538976234
2025,0.0,0.0,,NSW,Solar,0.0,0.0
2020,4068178.715,260698509.728125,64.08236412203071,NSW,Wind,2.16243471468071,1.9720915470030151
2021,4415609.899166667,246537267.33719167,55.833117727116075,NSW,Wind,2.3887460990233103,2.17112747930279
2022,5418919.660833334,709158209.1897167,130.867083030469,NSW,Wind,2.922921400161172,2.7536035145281117
2023,5607930.058333334,788024984.5913084,140.5197597677436,NSW,Wind,3.034765049608672,3.0014547287015874
2024,5479563.8375,491523537.1808917,89.7012155998797,NSW,Wind,2.9619956249160544,2.753276203945134
2025,61.57,4074.0869000000002,66.17,NSW,Wind,3.271214033757915,1.8837930849679785
2020,0.0,0.0,,QLD,Battery,0.0,0.0
2021,0.0,0.0,,QLD,Battery,0.0,0.0
2022,6388.134166666667,6177094.571941666,966.9638130291304,QLD,Battery,0.0034457078590420234,0.023985154655836057
2023,42551.35166666667,11860859.437091667,278.74224842505004,QLD,Battery,0.02302691964920581,0.04517602022781891
2024,72016.12833333333,20400489.831791665,283.27668126459264,QLD,Battery,0.03892854675529207,0.11427363890821267
2025,-0.011666666666666667,-0.73185,62.73,QLD,Battery,-0.0006198499874480377,-0.00033839581802582927
2020,48396310.15083333,2701502838.5604835,55.820429907588036,QLD,Coal-Black,25.724991074443597,20.43590858147134
2021,46130813.92333333,2807699349.456725,60.863858897502965,QLD,Coal-Black,24.95573755845804,24.725970548252533
2022,44431661.4075,7484846460.658475,168.45749682894018,QLD,Coal-Black,23.966078499256668,29.063048629616482
2023,43200208.17666667,6709917213.1102085,155.32140923187436,QLD,Coal-Black,23.37805224862776,25.55694697793208
2024,43573856.5575,4356507234.664483,99.97984063943576,QLD,Coal-Black,23.55398646891568,24.40303829662227
2025,459.7391666666667,28839.437925,62.73,QLD,Coal-Black,24.425941430374685,13.334898118515405
2020,4301.656666666667,444607.602875,103.35729634590393,QLD,Diesel,0.0022865395938333815,0.003363298456433286
2021,39601.56416666666,23472254.962175,592.7102996081153,QLD,Diesel,0.021423559616577378,0.2067081309856459
2022,75672.01,54011976.360191666,713.7642618478308,QLD,Diesel,0.04081686964670669,0.20972410106056444
2023,17127.851666666666,12531548.281333333,731.6474082807233,QLD,Diesel,0.009268839852173496,0.047730561317757284
2024,35940.7725,27192830.4795,756.6011687561808,QLD,Diesel,0.019427898653640464,0.15232103330499855
2025,0.0,0.0,,QLD,Diesel,0.0,0.0
2020,5804391.201666667,371698603.57964164,64.0374831167328,QLD,Gas,3.0853160373194872,2.811767796128506
2021,5290317.239166667,600065035.4284,113.42704195238821,QLD,Gas,2.8619431870646217,5.284465516548149
2022,4885891.594166666,1377604361.8991084,281.9555725599498,QLD,Gas,2.6354103757392036,5.349125432657614
2023,4473314.690833333,1069245185.9420416,239.02749076275074,QLD,Gas,2.4207611254831916,4.0725752130201505
2024,3992876.4816666665,736497817.236725,184.45294278908008,QLD,Gas,2.1583620558607777,4.125503177499184
2025,14.885,933.73605,62.73,QLD,Gas,0.7908400339854892,0.43174472154124016
2020,610460.795,43100811.334858336,70.60373358596817,QLD,Hydro,0.32448958306385134,0.3260423152824641
2021,921660.6,102459558.156275,111.16842594364455,QLD,Hydro,0.49859775051436983,0.9023088664565262
2022,1095492.4266666668,344644097.9436917,314.6019904422023,QLD,Hydro,0.5908997471879989,1.338224936355826
2023,1246097.18,271928902.23195,218.22447446029048,QLD,Hydro,0.6743329768638046,1.035731487495936
2024,1309691.6066666667,191480357.28221667,146.20262992259586,QLD,Hydro,0.7079579550451663,1.072579991289448
2025,7.199166666666667,451.603725,62.73,QLD,Hydro,0.3824917172545427,0.20881439085179565
